station_id,station_name,as_of,status_updated_at,status_observed_at,status_age_minutes,observation_age_minutes,freshness_flag,lat,lng,total_chargers,available_count,observed_count,observation_coverage,observed_available,static_candidate_ready,recheck_required,availability_guaranteed,data_quality_flags,request_vehicle_model,request_current_soc_percent,request_eta_minutes,request_route_distance_km,arrival_soc_percent,soc_risk_level,is_operating_now,schema_version
ME19F410,위천수변 테마공원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:02:25.999999998+00:00,2026-07-28 07:12:12.000000001+00:00,41.288222366666666,31.5215557,CHECK_REQUIRED,36.1765379,128.5843985,4,3,3,0.75,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19F412,물산업클러스터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:02:13.999999998+00:00,2026-07-28 07:12:12.000000001+00:00,41.48822236666667,31.5215557,CHECK_REQUIRED,35.645238359,128.41948475,4,1,1,0.25,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19W401,국가물산업클러스터 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:42+00:00,2026-07-28 07:32:16.999999998+00:00,15.0215557,11.438222366666668,CHECK_REQUIRED,35.647423,128.419848,8,6,6,0.75,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19X404,대구스타디움 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:01.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,14.688222366666668,11.438222366666668,AGING,35.831746657,128.69299415,6,5,6,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME19X405,대구 동촌유원지 서편주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:46.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,13.954889033333334,11.438222366666668,AGING,35.87946,128.649155,7,7,7,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME19X413,도림사 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:54+00:00,2026-07-28 07:32:16.999999998+00:00,13.8215557,11.438222366666668,AGING,35.9495931,128.729803,5,5,5,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME19X430,대구봉무공원 주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:19.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,14.404889033333337,11.438222366666668,AGING,35.920415,128.647217,6,6,6,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME19Y406,롯데렌탈 대구지점,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:39+00:00,2026-07-28 07:32:16.999999998+00:00,15.0715557,11.438222366666668,CHECK_REQUIRED,35.881162,128.629337,4,4,4,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME19Z223,이마트 성서점,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:28.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.23822236666667,11.438222366666668,CHECK_REQUIRED,35.853237,128.510256,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME20C182,두류1·2동1공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:51+00:00,2026-07-28 07:32:16.999999998+00:00,17.8715557,11.438222366666668,CHECK_REQUIRED,35.855857,128.569531,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME20C183,서남시장공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:39+00:00,2026-07-28 07:32:16.999999998+00:00,14.0715557,11.438222366666668,AGING,35.854062,128.544736,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME20C184,송현주공시장 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:58.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,17.738222366666665,11.438222366666668,CHECK_REQUIRED,35.8223214,128.5489175,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME20C185,한국산업인력공단 대구지역본부,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:07.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,15.604889033333334,11.438222366666668,CHECK_REQUIRED,35.8358783,128.5056659,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
