statId,statNm,lat,lng,available_count,total_chargers,availability_ratio_observed,reliability_grade,reliability_grade_effective,observation_age_minutes,as_of_ts,recommend_public_default,parking_is_mock,traffic_is_mock
ME19W401,국가물산업클러스터 주차장,35.647423,128.419848,6,8,1.0,NORMAL,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19X404,대구스타디움 주차장,35.831746657,128.69299415,5,6,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19X405,대구 동촌유원지 서편주차장,35.87946,128.649155,7,7,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19X413,도림사 주차장,35.9495931,128.729803,4,5,0.8,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19X430,대구봉무공원 주차장,35.920415,128.647217,6,6,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19Y406,롯데렌탈 대구지점,35.881162,128.629337,4,4,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME19Z223,이마트 성서점,35.853237,128.510256,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C182,두류1·2동1공영주차장,35.855857,128.569531,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C183,서남시장공영주차장,35.854062,128.544736,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C184,송현주공시장 공영주차장,35.8223214,128.5489175,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C185,한국산업인력공단 대구지역본부,35.8358783,128.5056659,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C186,논공읍행정복지센터,35.774244,128.420596,0,1,0.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C187,달성군보건소,35.6918817,128.4462723,0,1,0.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C188,신암3동행정복지센터,35.879398,128.623172,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C189,한국사학진흥재단,35.87656412,128.7349966,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C285,달성습지생태학습관,35.8159,128.4861019,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C286,읍내동 행정복지센터,35.946211,128.550539,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME20C287,한국도로공사 북대구영업소,35.911213,128.584818,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
