station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
DAGU0066,(RS)대구시_앞산공원 공영주차장,35.83127083,128.5889103,CV003096,대구시_앞산공원 공영주차장,0.0,80.0,True
DAGU0067,(RS)대구시_이곡1동 행정복지센터,35.85164,128.510669,CV003087,대구시_이곡1동행정복지센터,0.0,80.0,True
DAGU0068,(RS)대구시_원대동 행정복지센터,35.885192,128.573469,CV003091,대구시_원대동행정복지센터,0.0,80.0,True
DAGU0069,(RS)대구시_다사읍사무소,35.862027,128.454201,CV003158,대구시_다사읍사무소,0.0,80.0,True
DAGU0070,(RS)대구시_고산노인복지관,35.836754,128.712735,CV003165,대구시_고산노인복지관,0.0,80.0,True
DAGU0071,(RS)대구시_동림플라자,35.8953811,128.517276,CV003466,대구시_동림플라자,27.1,80.0,True
DAGU0072,(RS)대구시_검단동행정복지센터,35.913503,128.627086,CV003428,대구시_검단동행정복지센터,12.2,80.0,True
DAGU0073,(RS)대구시_관음동행정복지센터,35.9441956,128.5471339,CV003468,대구시_관음동행정복지센터,18.4,80.0,True
DAGU0074,(RS)대구시_동천동행정복지센터,35.937325,128.558192,CV003465,대구시_동천동행정복지센터,0.0,80.0,True
DAGU0075,(RS)대구시_매천역환승공영주차장,35.91434098,128.5427249,,,,80.0,False
DAGU0076,(RS)대구시_복현2동행정복지센터,35.895355,128.625463,CV003460,대구시_복현2동행정복지센터,2.6,80.0,True
DAGU0077,(RS)대구시_북구청,35.88523534,128.5830319,CV003459,대구시_북구청,23.3,80.0,True
DAGU0078,(RS)대구시_산격2동행정복지센터,35.90158,128.609107,PW001240,산격대우-119동,76.7,80.0,True
DAGU0079,(RS)대구시_시청별관,35.891164,128.597077,,,,80.0,False
DAGU0080,(RS)대구시_올브랜서편공영주차장,35.90446781,128.6094499,CV003445,대구시_올브랜서편공영주차장,0.0,80.0,True
DAGU0081,"(철거)(RS)대구시_내당2,3동 행정복지센터",35.867278,128.574524,,,,80.0,False
DAGU0082,(RS)대구시_비산1동행정복지센터,35.88106671,128.5690485,CV003458,대구시_비산1동행정복지센터,13.1,80.0,True
DAGU0083,(RS)대구시_비산4동행정복지센터,35.86983428,128.5742366,CV003457,대구시_비산4동행정복지센터,11.1,80.0,True
DAGU0084,(RS)대구시_평리1동행정복지센터,35.87561,128.563275,CV003447,대구시_평리1동행정복지센터,0.0,80.0,True
DAGU0085,(RS)대구시_평리3동행정복지센터,35.87585073,128.5613734,CV003446,대구시_평리3동행정복지센터,12.1,80.0,True
DAGU0086,(RS)대구시_고산3동행정복지센터,35.844142,128.706568,CV003444,대구시_고산3동행정복지센터,0.0,80.0,True
DAGU0087,(RS)대구시_두산오거리,35.82700512,128.6252449,CV003464,대구시_두산오거리,0.0,80.0,True
DAGU0088,(RS)대구시_신매3공영주차장,35.8385104,128.7038126,CV003449,대구시_신매3공영주차장,0.0,80.0,True
DAGU0089,(RS)대구시_갓바위공영3주차장,35.98525616,128.7496678,CV003485,대구시_갓바위공영3주차장,0.0,80.0,True
DAGU0090,(RS)대구시_성서1공영주차장,35.83087497,128.4954027,CV004336,대구시_성서1공영주차장,0.0,80.0,True
DAGU0091,(RS)대구시_수성구청,35.857973,128.63088,CV003480,대구시_수성구청,0.0,80.0,True
DAGU0092,(RS)대구시_달서구청,35.82992,128.532834,CV003484,대구시_달서구청,0.0,80.0,True
DAGU0093,(RS)대구시_어린이회관,35.846511,128.6258022,CV003566,대구시_어린이회관,0.0,80.0,True
DAGU0094,(RS)대구시_지산1동행정복지센터,35.82501073,128.6371775,CV003568,대구시_지산1동행정복지센터,17.4,80.0,True
DAGU0095,(RS)대구시_국채보상운동기념공원주차장,35.868444,128.601716,CV003573,대구시_국채보상운동기념공원주차장,0.0,80.0,True
DAGU0096,(RS)대구시_남산4동 행정복지센터,35.858223,128.580579,CV003572,대구시_남산4동 행정복지센터,0.0,80.0,True
DAGU0097,(RS)대구시_대구시청 지상1층,35.870639,128.6018,CV003571,대구시_대구시청 지상1층,0.0,80.0,True
