statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,remaining_spaces,total_spaces,occupancy_rate,congestion_status,has_realtime,parking_lat,parking_lng,parking_source
PIH01705,코아시스아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH01712,비엘주차장,150-2-000015,경상감영주차장,341.2,1000.0,True,2,61,96.72,만차(점유 90%초과),True,35.872715885,128.592750173,team5_pis
PIH01717,히든호텔,,,,1000.0,False,,,,,False,,,team5_pis
PIH01747,대한동아침산1차무지개아파트,154-1-000206,옥산로17길,234.7,1000.0,True,,,,,False,35.888692,128.586386,team5_pis
PIH01759,화성파크스위트아파트,151-2-000051,망우당공원 공영주차장(택시 쉼터),334.4,1000.0,True,,,,,False,35.876291,128.656308,team5_pis
PIH01767,창앤영펜션,,,,1000.0,False,,,,,False,,,team5_pis
PIH01792,대구 동구 벽산이솔렌스힐아파트,151-1-000073,상공회의소 뒤편3주차장,92.5,1000.0,True,,,,,False,35.871627,128.624557,team5_pis
PIH01804,스펙트럼시티,154-1-000251,침산2차동아무지개아파트동측,196.1,1000.0,True,,,,,False,35.886516,128.591273,team5_pis
PIH01824,한샘아파트,,,,1000.0,False,,,,,False,,,team5_pis
PIH01854,더존모텔,,,,1000.0,False,,,,,False,,,team5_pis
PIH01875,여성메디파크문화센터,,,,1000.0,False,,,,,False,,,team5_pis
PIH01883,다인식품,151-2-000038,옻골 전통마을 주차장,760.4,1000.0,True,,,,,False,35.904475,128.685728,team5_pis
PIH01900,여성메디파크병원,,,,1000.0,False,,,,,False,,,team5_pis
PIH01936,베네시움,150-2-000036,노외(공한지),225.8,1000.0,True,,,,,False,35.866756,128.580218,team5_pis
PIH01985,주택,152-2-000038,평리1동 공영주차장(들마을 사랑방주차장),74.2,1000.0,True,,,,,False,35.876017,128.566146,team5_pis
PIH02017,유천풋살파크,,,,1000.0,False,,,,,False,,,team5_pis
PIH02046,한국한의학연구원,151-2-000036,신서중앙공원 주차장,235.1,1000.0,True,,,,,False,35.880463,128.734154,team5_pis
PIS00522,대구 수성구 수성월드메르디앙,,,,1000.0,False,,,,,False,,,team5_pis
PIS00523,대구 달성군 세천삼정그린코아더베스트1단지,,,,1000.0,False,,,,,False,,,team5_pis
PIS00524,대구 달성군 세천삼정그린코아더베스트2단지,,,,1000.0,False,,,,,False,,,team5_pis
