layer,radius_m,reason,statId,statNm
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME18C265,서재문화체육센터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C130,소보면사무소 주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19C289,군위군 종합운동장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19D114,장군졸음쉼터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19D216,관사정문 주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E138,우보면사무소 주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E216,달성군청
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19E217,수성생활체육공원
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19F260,아미산 주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19X413,도림사 주차장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME19Z223,이마트 성서점
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C186,논공읍행정복지센터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C287,한국도로공사 북대구영업소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME20C288,한국도로공사 서대구영업소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21A903,논공(대구) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21A910,논공(광주) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21B1D2,소방장비관리센터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21B262,군위(춘천) 휴게소
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21C219,근로복지공단 대구병원
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME21C228,대구성서경찰서
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME22C1A2,대구재활센터
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME22C1A3,비원노인복지관
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME22C1A4,달성군종합사회복지관
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME22C250,논공(대구)휴게소(5번국도)
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME22C251,대구동부경찰서
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME24A244,군위 전투전승기념공원
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME24B142,성서운동장
city_tour_geocoded,1000,NO_CANDIDATE_WITHIN_RADIUS,ME24B144,효령면행정복지센터
