layer,radius_m,reason,poi_id,name
city_tour,,NO_COORDINATES,CITYTOUR-0096,로데오거리
city_tour,,NO_COORDINATES,CITYTOUR-0097,롯데 아울렛 대구 율하점
city_tour,,NO_COORDINATES,CITYTOUR-0098,롯데몰 이시아폴리스점
city_tour,,NO_COORDINATES,CITYTOUR-0099,리틀포레스트 촬영지
city_tour,,NO_COORDINATES,CITYTOUR-0100,마비정벽화마을
city_tour,,NO_COORDINATES,CITYTOUR-0101,망우당공원
city_tour,,NO_COORDINATES,CITYTOUR-0102,메디시티대구명품브랜드판매장
city_tour,,NO_COORDINATES,CITYTOUR-0103,모명재
city_tour,,NO_COORDINATES,CITYTOUR-0104,묘골마을과 육신사
city_tour,,NO_COORDINATES,CITYTOUR-0105,문화예술거리 이태원길
city_tour,,NO_COORDINATES,CITYTOUR-0106,미도다방
city_tour,,NO_COORDINATES,CITYTOUR-0107,미즈사키 린따로 묘소
city_tour,,NO_COORDINATES,CITYTOUR-0108,박물관 휴르
city_tour,,NO_COORDINATES,CITYTOUR-0109,법주사
city_tour,,NO_COORDINATES,CITYTOUR-0110,벨벳 갤러리 관람 및 체험
city_tour,,NO_COORDINATES,CITYTOUR-0111,벨벳 갤러리 영도다움
city_tour,,NO_COORDINATES,CITYTOUR-0112,보현사
city_tour,,NO_COORDINATES,CITYTOUR-0113,봉무공원
city_tour,,NO_COORDINATES,CITYTOUR-0114,봉산문화거리
city_tour,,NO_COORDINATES,CITYTOUR-0115,봉산문화회관
city_tour,,NO_COORDINATES,CITYTOUR-0116,부인사
city_tour,,NO_COORDINATES,CITYTOUR-0117,북성로공구박물관
city_tour,,NO_COORDINATES,CITYTOUR-0118,북지장사
city_tour,,NO_COORDINATES,CITYTOUR-0119,불로동 고분군
city_tour,,NO_COORDINATES,CITYTOUR-0120,비슬산군립공원
city_tour,,NO_COORDINATES,CITYTOUR-0121,사라온이야기마을
city_tour,,NO_COORDINATES,CITYTOUR-0122,사명당대장 진영
city_tour,,NO_COORDINATES,CITYTOUR-0123,사문진나루터
city_tour,,NO_COORDINATES,CITYTOUR-0124,사문진주막촌
city_tour,,NO_COORDINATES,CITYTOUR-0125,사유원
city_tour,,NO_COORDINATES,CITYTOUR-0126,삼가헌
city_tour,,NO_COORDINATES,CITYTOUR-0127,삼국유사테마파크
city_tour,,NO_COORDINATES,CITYTOUR-0128,삼덕동 벽화마을
city_tour,,NO_COORDINATES,CITYTOUR-0129,삼덕동벽화골목
city_tour,,NO_COORDINATES,CITYTOUR-0130,삼성상회 옛터
city_tour,,NO_COORDINATES,CITYTOUR-0131,삼송베이커리
city_tour,,NO_COORDINATES,CITYTOUR-0132,삼충사 묘정각
city_tour,,NO_COORDINATES,CITYTOUR-0133,서문시장
city_tour,,NO_COORDINATES,CITYTOUR-0134,석산리 산촌생태마을
city_tour,,NO_COORDINATES,CITYTOUR-0135,섬유제품관
city_tour,,NO_COORDINATES,CITYTOUR-0136,성모당
city_tour,,NO_COORDINATES,CITYTOUR-0137,소재사
city_tour,,NO_COORDINATES,CITYTOUR-0138,송광매 기념관(송광매원)
city_tour,,NO_COORDINATES,CITYTOUR-0139,수성랜드
city_tour,,NO_COORDINATES,CITYTOUR-0140,수성못유원지
city_tour,,NO_COORDINATES,CITYTOUR-0141,수성아트피아
city_tour,,NO_COORDINATES,CITYTOUR-0142,수제화골목
city_tour,,NO_COORDINATES,CITYTOUR-0143,수창청춘맨숀
city_tour,,NO_COORDINATES,CITYTOUR-0144,수태골
city_tour,,NO_COORDINATES,CITYTOUR-0145,수태사
