statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,traffic_source
BNBN0586,대구 상원고등학교,,,,1000,False,utic
BNBN0588,대구 외국어고등학교,,,,1000,False,utic
BNBN0590,대구 현풍고등학교,,,,1000,False,utic
BNBN0591,대구 선명학교,,,,1000,False,utic
BNBN0594,대구 소선여자중학교,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,881.4,1000,True,utic
BNBN0721,대구 서대구중학교,,,,1000,False,utic
BNBN1092,대구 달성 대구달성경찰서,,,,1000,False,utic
BNBN1180,대구 달서 일신테크노밸리,,,,1000,False,utic
BNMI4428,대구공업고등학교,L93171025789,[공사] 대현로 대한응급구조사협회 에서 공고네거리 방향 2차로 도로공사 주의운전,214.0,1000,True,utic
BNMI4433,대구 평리중학교,,,,1000,False,utic
BNMI4438,대구 경북기계공업고등학교,,,,1000,False,utic
CCP00001,송해공원골프클럽,,,,1000,False,utic
CG000066,대구 태원모터스,,,,1000,False,utic
CGP00005,르노코리아서비스코너현풍점,,,,1000,False,utic
CGP00009,대구 태전미진타운아파트_B1,,,,1000,False,utic
CGP00011,대구 우방신천지타운_203동 앞,,,,1000,False,utic
CGP00013,대구 우방신천지타운_관리사무소 옆,,,,1000,False,utic
CGP00014,대구 동대구푸르지오브리센트_105동,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,744.5,1000,True,utic
CGP00015,대구 동대구푸르지오브리센트_109동,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,719.9,1000,True,utic
CGP00016,대구 동대구푸르지오브리센트_110동,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,762.8,1000,True,utic
CGP00017,대구 동대구푸르지오브리센트_102동,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,808.4,1000,True,utic
CGP00018,대구 동대구푸르지오브리센트_109동,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,721.1,1000,True,utic
CGP00019,대구 동대구푸르지오브리센트_110동,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,760.3,1000,True,utic
CI0F0001,제네스타워,,,,1000,False,utic
CI0F0002,두류공원골프연습장,,,,1000,False,utic
CI0F0003,사라골프,,,,1000,False,utic
CI0F0004,프라나 호텔,,,,1000,False,utic
CI0F0005,군위 수서 골프앤 리조트,,,,1000,False,utic
CPCP1044,롯데시네마부설주차장,,,,1000,False,utic
CPCT0011,남대구IC지식산업센터,,,,1000,False,utic
CPCT3003,남대구IC지식산업센터(급속),,,,1000,False,utic
CSCS1024,삼성생명빌딩,,,,1000,False,utic
CSCS2017,서재골프랜드,,,,1000,False,utic
CU530001,모텔 뷰(박병선),L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,458.9,1000,True,utic
CU530002,학정역효성해링턴플레이스,,,,1000,False,utic
CU530004,신암그린타운,L93171025789,[공사] 대현로 대한응급구조사협회 에서 공고네거리 방향 2차로 도로공사 주의운전,376.1,1000,True,utic
CU530005,만촌태왕리더스,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,608.6,1000,True,utic
CU530006,만촌1차우방타운,,,,1000,False,utic
CU530007,보국웰리치시지아파트,,,,1000,False,utic
