statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
CV001891,호림2공영주차장,,,,1000,False
CV001894,종합유통단지 전자상가 공영주차장,2770621,향사례 대구시민단,989.1,1000,True
CV001895,종합유통단지 산업용재관남편공영주차장,2770621,향사례 대구시민단,836.3,1000,True
CV001904,범물공원공영주차장,,,,1000,False
CV001906,한국도로교통공단 대구지부,,,,1000,False
CV001925,힐스테이트데시앙도남4단지아파트,,,,1000,False
CV001941,대구 중구청 주차장,1960611,동인동 찜갈비 골목,129.5,1000,True
CV001967,종합유통단지 코스트코서편공영주차장,,,,1000,False
CV001969,수성못동편공영주차장,,,,1000,False
CV001970,성당시장 공영주차장,126131,대구두류공원,900.1,1000,True
