statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME24A244,군위 전투전승기념공원,,,,1000,False
ME24A248,비슬산관광지 주차장,,,,1000,False
ME24B142,성서운동장,27290-00010,배실웨딩공원,232.5,1000,True
ME24B143,장기공원 주차장,27290-00032,장기공원,290.8,1000,True
ME24B144,효령면행정복지센터,,,,1000,False
ME24B207,대구경북지방중소벤처기업청 청사,27290-00029,이곡생수공원,474.9,1000,True
ME24B208,한국수자원공사 달성보,,,,1000,False
ME25C165,군위농산물 푸드유통센터,,,,1000,False
ME25C166,농기계사업소 동부분소,,,,1000,False
ME25C167,학산공원 삼거리 주차장,27290-00035,학산공원,355.3,1000,True
ME25C168,E-share 대구샘기억학교,27290-00004,대곡공원,685.2,1000,True
ME25C169,E-share 덕수복지재단 미소마을,,,,1000,False
ME25C170,신서혁신도시 나불지 공영주차장 2,,,,1000,False
ME25C171,동촌유원지 3 공영주차장 2,27140-00002,망우당공원,111.9,1000,True
ME25C172,E-share 대불노인복지관,27230-00003,대불공원,562.8,1000,True
ME25C173,산격4동 공영주차장,27230-00002,연암공원,579.8,1000,True
ME25C276,전망대주차장,,,,1000,False
ME25C277,수밭근린공원 주차장,27290-00050,월광1수변공원,49.4,1000,True
ME25C278,국립대구박물관(북문 주차장) (2),27260-00072,범어공원,566.0,1000,True
ME25C425,달성군 보건소 주차장,,,,1000,False
ME25C426,신서혁신도시 나불지 공영주차장 1,,,,1000,False
ME25C427,동촌유원지 3 공영주차장 1,27140-00002,망우당공원,111.9,1000,True
ME25C428,국립대구박물관(북문 주차장) (1),27260-00072,범어공원,567.3,1000,True
AH000019,대구 KC타운,27260-00086,의료2공원,462.6,1000,True
AH000052,대구 산격보성아파트 (대성),27230-00003,대불공원,443.5,1000,True
AH000082,대구 CTR모빌리티,,,,1000,False
ALAL0013,대영빌딩,27140-00043,대구선아양공원,925.4,1000,True
AM900026,대구 동천동 세븐밸리 충전소,27230-00008,함지공원,811.7,1000,True
AM900047,대구 와이즈빌딩,27110-00002,경상감영공원,743.9,1000,True
AM900048,대구 와이즈빌딩 급속충전소,27110-00002,경상감영공원,743.9,1000,True
AZ100007,이고,,,,1000,False
AZ100013,대청초등학교,27260-00084,두건골공원,780.7,1000,True
AZ100014,밴앤포스,27260-00075,수성공원,915.7,1000,True
AZ100017,대구세강병원,27290-00015,송현공원,662.4,1000,True
AZ100019,지피에스,,,,1000,False
AZ100020,올인워크,27260-00073,야시골공원,494.3,1000,True
AZ100021,KB차차차 동대구,,,,1000,False
AZ100022,모빌리티기술혁신센터,,,,1000,False
AZ100023,비에스타워,,,,1000,False
BE241230,워터 군위휴게소 부산방향,,,,1000,False
BE241250,워터 현풍휴게소 대구방향,,,,1000,False
BE241251,워터 현풍휴게소 창원방향,,,,1000,False
BE482306,워터 대구 반월당,27110-00005,2.28기념 중앙공원,579.7,1000,True
BNBN0053,대구 달성군 한국기계연구원,,,,1000,False
BNBN0494,달성군 테크노스포츠센터,,,,1000,False
BNBN0583,대구 군위고등학교,,,,1000,False
BNBN0584,대구 경일여자고등학교,,,,1000,False
BNBN0585,대구 새본리중학교,,,,1000,False
BNBN0586,대구 상원고등학교,27290-00020,월곡공원,756.6,1000,True
BNBN0588,대구 외국어고등학교,27290-00009,배실공원,190.9,1000,True
BNBN0590,대구 현풍고등학교,,,,1000,False
BNBN0591,대구 선명학교,,,,1000,False
BNBN0594,대구 소선여자중학교,27260-00084,두건골공원,611.1,1000,True
BNBN0721,대구 서대구중학교,27170-00002,평리공원,869.6,1000,True
BNBN1092,대구 달성 대구달성경찰서,,,,1000,False
BNBN1180,대구 달서 일신테크노밸리,,,,1000,False
BNMI4428,대구공업고등학교,27140-00081,기상대기념공원,504.8,1000,True
BNMI4433,대구 평리중학교,27170-00002,평리공원,296.4,1000,True
BNMI4438,대구 경북기계공업고등학교,27290-00020,월곡공원,577.9,1000,True
CCP00001,송해공원골프클럽,,,,1000,False
CG000066,대구 태원모터스,,,,1000,False
CGP00005,르노코리아서비스코너현풍점,,,,1000,False
CGP00009,대구 태전미진타운아파트_B1,27230-00094,태전공원,717.1,1000,True
CGP00011,대구 우방신천지타운_203동 앞,,,,1000,False
CGP00013,대구 우방신천지타운_관리사무소 옆,27260-00083,무학산공원,944.9,1000,True
CGP00014,대구 동대구푸르지오브리센트_105동,27260-00074,화랑공원,585.6,1000,True
CGP00015,대구 동대구푸르지오브리센트_109동,27260-00074,화랑공원,649.7,1000,True
CGP00016,대구 동대구푸르지오브리센트_110동,27260-00074,화랑공원,651.4,1000,True
CGP00017,대구 동대구푸르지오브리센트_102동,27260-00074,화랑공원,531.0,1000,True
CGP00018,대구 동대구푸르지오브리센트_109동,27260-00074,화랑공원,648.3,1000,True
CGP00019,대구 동대구푸르지오브리센트_110동,27260-00074,화랑공원,648.9,1000,True
CI0F0001,제네스타워,27110-00006,건들바위역사공원,676.2,1000,True
CI0F0002,두류공원골프연습장,27290-00179,두류공원,650.5,1000,True
CI0F0003,사라골프,27290-00004,대곡공원,708.2,1000,True
CI0F0004,프라나 호텔,,,,1000,False
CI0F0005,군위 수서 골프앤 리조트,,,,1000,False
CPCP1044,롯데시네마부설주차장,27290-00022,월배공원,355.4,1000,True
CPCT0011,남대구IC지식산업센터,27290-00034,조암구석기공원,752.0,1000,True
CPCT3003,남대구IC지식산업센터(급속),27290-00034,조암구석기공원,756.7,1000,True
CSCS1024,삼성생명빌딩,27110-00008,제2수창공원,622.2,1000,True
CSCS2017,서재골프랜드,27710-00039,서재공원,491.2,1000,True
CU530001,모텔 뷰(박병선),27290-00017,와룡(아래)공원,523.3,1000,True
CU530002,학정역효성해링턴플레이스,,,,1000,False
CU530004,신암그린타운,,,,1000,False
CU530005,만촌태왕리더스,27260-00084,두건골공원,663.7,1000,True
CU530006,만촌1차우방타운,,,,1000,False
CU530007,보국웰리치시지아파트,,,,1000,False
CU530008,시지동화 아이위시,,,,1000,False
CU530009,수성2차e편한세상,27260-00084,두건골공원,441.5,1000,True
CU530010,화성센트럴파크,27230-00009,동천공원,145.5,1000,True
CU530011,침산코오롱하늘채2단지,,,,1000,False
CU530012,에코폴리스동화아이위시3차,27710-00039,서재공원,641.1,1000,True
CU530014,율하역엘크루아파트,27140-00036,율하공원,529.8,1000,True
CV000007,대영코어텍 주차장,,,,1000,False
CV000039,대구 컨벤션센터,27230-00007,신기공원,387.4,1000,True
CV000048,대구시_수성의료지구(대구도시공사),27260-00086,의료2공원,176.4,1000,True
CV000051,대구시_지능형자동차부품진흥원,,,,1000,False
CV000103,대구보건대학교(입구 주차장),27230-00094,태전공원,333.6,1000,True
CV000112,한국장학재단,27140-00081,기상대기념공원,701.2,1000,True
CV000113,MH엘퍼스트오페라오피스텔,27230-00001,침산공원,927.9,1000,True
CV000146,(주)동원약품,27230-00003,대불공원,575.8,1000,True
CV000149,동화사집단시설지구(씨네80),,,,1000,False
CV000151,수성관광호텔(주차타워 A1B1 구역),,,,1000,False
CV000152,매일신문사,27110-00002,경상감영공원,591.1,1000,True
CV000154,대구자동차경매장(후문),27290-00033,장동공원,486.1,1000,True
CV000163,주공그린빌1단지,27230-00095,옻골공원,648.4,1000,True
CV000165,마크팰리스범어,27260-00073,야시골공원,584.9,1000,True
CV000194,문양역,,,,1000,False
CV000195,대구가창 광덕사,,,,1000,False
CV000219,팔공CC(우경개발),,,,1000,False
CV000224,대구컨벤션센터(엑스코)신관,27230-00003,대불공원,402.4,1000,True
CV000321,이시아폴리스 근생판매시설,27140-00083,단산유적공원,442.2,1000,True
CV000375,트리팜,,,,1000,False
CV000390,청기와아파트,27140-00043,대구선아양공원,374.8,1000,True
CV000394,하늘천따지식당,,,,1000,False
CV000406,대구광역시 상수도사업본부 수질연구소,27170-00004,감삼못공원,752.3,1000,True
CV000446,태왕아너스아파트(황금동),27260-00072,범어공원,536.4,1000,True
CV000478,D모텔,,,,1000,False
CV000500,대구시_한국도로공사(유천IC),,,,1000,False
CV000501,대구시_저소득층 밀집지구 지식산업센터,27260-00086,의료2공원,151.3,1000,True
CV000502,대구시_장기공영주차장,27290-00008,무지개공원,301.4,1000,True
CV000503,대구시_월촌공원주차장,27290-00028,월촌공원,0.5,1000,True
CV000504,대구시_운암지 공영주차장,27230-00009,동천공원,611.5,1000,True
CV000505,대구시_상호림공원,,,,1000,False
CV000506,대구시_대현동 행정복지센터,,,,1000,False
CV000507,대구시_대명11동 행정복지센터,27290-00015,송현공원,551.3,1000,True
CV000508,대구시_대구테크노파크 신기술산업지원센터,,,,1000,False
CV000509,대구시_대구은행 본점,27260-00075,수성공원,151.3,1000,True
CV000510,대구시_대구유통단지 전자관,27230-00007,신기공원,213.1,1000,True
CV000512,대구시_대구지식산업센터,,,,1000,False
CV000513,대구시_남산2동 행정복지센터,27110-00002,경상감영공원,925.5,1000,True
CV000515,대구시_KS택시주식회사,27260-00072,범어공원,806.3,1000,True
CV000519,대구시_봉덕3동 행정복지센터,,,,1000,False
