statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CV004553,151-2-000036,,,
CV004555,155-2-000016,2.6649654437396637,-7.0,7.0
CV004568,156-2-000045,,,
CV004598,153-1-000062,,,
CV004606,151-2-000078,,,
CV004614,156-2-000105,0.0,0.0,7.0
CV004674,154-1-000104,0.0,0.0,7.0
CV004690,156-2-000078,,,
CV004698,150-2-000005,,,
CV004699,151-2-000065,,,
CV004700,150-1-000148,,,
CV004701,151-2-000067,,,
CV004702,157-1-000125,,,
CV004714,154-1-000002,,,
DC530001,156-1-000092,,,
DC530002,155-2-000034,,,
DC530003,155-2-000034,,,
DC530004,155-2-000034,,,
DC530005,150-2-000017,2.87849166851572,-8.0,7.0
DC530006,156-2-000098,,,
DC530007,156-2-000098,,,
DC530008,156-2-000073,,,
DC530009,156-2-000073,,,
DC530012,155-4-000019,,,
DC530013,155-4-000019,,,
DC530014,155-1-000117,,,
DC530015,156-2-000071,2.2946254863155757,-6.0,7.0
DC530016,156-2-000071,2.2946254863155757,-6.0,7.0
DC530017,154-1-000227,,,
DC530018,151-1-000111,,,
DC530019,151-1-000111,,,
DC530020,154-1-000207,,,
DC530021,150-1-000125,,,
DC530022,155-4-000024,,,
DC530023,155-4-000024,,,
DC530024,154-1-000206,,,
DC530025,154-1-000206,,,
DC530029,156-2-000078,,,
DG110009,150-1-000172,,,
DO000034,153-2-000033,,,
DYME2012,152-1-000006,,,
EBSSBILL,150-2-000004,,,
EC000049,150-2-000018,,,
EC000100,157-1-000144,,,
EC000145,154-1-000167,,,
EC000154,155-4-000008,,,
EC000155,155-4-000008,,,
EC000411,154-1-000281,,,
EC000412,154-1-000201,,,
EC000430,152-1-000132,,,
EC000431,152-1-000132,,,
EC000505,155-1-000152,,,
EC000506,155-1-000152,,,
EC003284,151-1-000148,,,
EC003465,155-2-000061,0.7284313590846841,0.0,7.0
EC003466,155-2-000061,0.7284313590846841,0.0,7.0
EC004338,156-1-000065,,,
EC005054,150-2-000015,1.0497813183356481,0.0,7.0
EC005057,154-1-000115,,,
EC005058,154-1-000115,,,
EC005059,156-3-000001,,,
