statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CV001719,154-1-000071,,,
CV001732,154-1-000061,,,
CV001735,156-2-000071,2.2946254863155757,-6.0,7.0
CV001743,155-1-000151,,,
CV001767,153-2-000020,,,
CV001768,157-1-000140,,,
CV001788,155-1-000158,,,
CV001793,152-1-000132,,,
CV001795,154-1-000147,,,
CV001802,157-1-000076,,,
CV001836,155-4-000004,,,
CV001851,152-2-000027,,,
CV001885,156-2-000081,0.45175395145262925,-1.0,7.0
CV001891,156-2-000080,6.253162465211225,-19.0,7.0
CV001894,154-2-000034,3.0572763655761013,-10.0,7.0
CV001895,154-2-000039,0.8806305718527111,2.0,7.0
CV001904,155-2-000053,1.0690449676497016,2.0,7.0
CV001906,156-2-000102,,,
CV001925,154-2-000072,,,
CV001941,150-1-000145,,,
CV001967,154-2-000051,3.238795442501324,-1.0,7.0
CV001969,155-2-000046,0.0,0.0,7.0
CV001970,153-2-000012,,,
CV001971,151-2-000007,0.0,0.0,7.0
CV001972,151-2-000037,,,
CV001973,151-1-000106,,,
CV001974,154-1-000216,,,
CV001976,150-2-000015,1.0497813183356481,0.0,7.0
CV001994,154-1-000081,,,
CV002012,156-2-000035,4.43547848464572,13.0,7.0
CV002014,156-2-000067,1.1248582677159733,1.0,7.0
CV002033,156-2-000032,0.7284313590846837,0.0,7.0
CV002034,156-2-000034,0.728431359084679,-2.0,7.0
CV002048,156-3-000001,,,
CV002068,154-1-000084,,,
CV002069,151-2-000005,1.1605769149479936,0.0,7.0
CV002072,154-1-000255,,,
CV002087,155-1-000009,,,
CV002099,151-2-000036,,,
CV002107,155-3-000006,3.6421567954234217,-10.0,7.0
CV002115,151-2-000005,1.1605769149479936,0.0,7.0
CV002128,151-2-000023,,,
CV002131,154-1-000021,,,
CV002134,154-1-000276,,,
CV002139,151-2-000046,0.45175395145262554,0.0,7.0
CV002144,156-2-000024,,,
CV002155,157-1-000055,,,
CV002158,152-1-000006,,,
CV002163,155-2-000054,,,
CV002169,151-1-000073,,,
CV002174,154-1-000011,,,
CV002175,151-1-000092,,,
CV002176,151-1-000092,,,
CV002177,151-1-000092,,,
CV002178,151-1-000092,,,
CV002179,151-1-000092,,,
CV002180,151-1-000092,,,
CV002181,156-2-000031,3.010186786529356,-8.0,7.0
CV002188,155-2-000091,,,
