statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
CV000899,1510031900,164.5,19.0,2.0,지체
CV000902,1520000502,180.6,17.0,2.0,지체
CV000906,1510035100,306.9,34.0,1.0,원활
CV000908,1510056100,389.1,48.0,1.0,원활
CV000934,,,,,
CV000952,,,,,
CV000976,1540088201,78.4,29.0,1.0,원활
CV000977,1540088201,102.8,29.0,1.0,원활
CV000978,1550011601,46.8,60.0,1.0,원활
CV000979,,,,,
CV000980,1540013002,317.5,32.0,1.0,원활
CV000981,1550011601,46.8,60.0,1.0,원활
CV000982,,,,,
CV000985,1560246600,326.9,72.0,1.0,원활
CV000991,,,,,
CV001002,,,,,
CV001048,,,,,
CV001076,,,,,
CV001113,1510051300,160.2,22.0,2.0,지체
CV001121,,,,,
CV001122,,,,,
CV001123,1560031600,187.3,36.0,1.0,원활
CV001124,1560037000,234.5,36.0,1.0,원활
CV001126,1560003100,191.4,8.0,3.0,정체
CV001127,1540070600,151.3,57.0,1.0,원활
CV001129,,,,,
CV001130,,,,,
CV001171,1520016701,332.0,13.0,3.0,정체
CV001208,,,,,
CV001219,1510038701,44.0,29.0,1.0,원활
CV001221,,,,,
CV001223,,,,,
CV001234,,,,,
CV001241,1550032800,166.6,36.0,1.0,원활
CV001242,1560039600,25.8,36.0,1.0,원활
CV001264,1570423500,149.3,44.0,1.0,원활
CV001297,1510056605,328.8,47.0,1.0,원활
CV001308,,,,,
CV001314,,,,,
CV001316,1530009300,196.5,21.0,2.0,지체
CV001318,1530003900,46.5,42.0,1.0,원활
CV001323,1510033800,224.2,35.0,1.0,원활
CV001343,1520002500,235.0,24.0,2.0,지체
CV001354,,,,,
CV001396,1510028001,363.5,24.0,2.0,지체
CV001397,1560025900,275.6,45.0,1.0,원활
CV001398,1560043701,265.2,38.0,1.0,원활
CV001426,1540009600,46.2,58.0,1.0,원활
CV001441,1510049000,379.6,52.0,1.0,원활
CV001462,1540008801,247.8,73.0,1.0,원활
CV001464,,,,,
CV001488,1530002300,271.1,60.0,1.0,원활
CV001489,1560003200,344.0,10.0,3.0,정체
CV001490,1540025900,186.7,21.0,2.0,지체
CV001491,,,,,
CV001492,,,,,
CV001493,1560102400,170.5,53.0,1.0,원활
CV001494,,,,,
CV001495,,,,,
CV001496,,,,,
CV001525,1570428402,147.9,40.0,1.0,원활
CV001529,1560087000,98.9,25.0,2.0,지체
CV001534,,,,,
CV001544,,,,,
CV001545,,,,,
CV001555,,,,,
CV001562,1530029100,33.6,29.0,1.0,원활
CV001564,1560003702,106.1,38.0,1.0,원활
CV001566,,,,,
CV001580,,,,,
CV001581,1540069000,150.4,57.0,1.0,원활
CV001589,1540001400,50.7,29.0,1.0,원활
CV001590,,,,,
CV001592,1500022700,253.3,56.0,1.0,원활
CV001594,1550057500,105.0,29.0,1.0,원활
CV001595,1520001404,270.3,28.0,1.0,원활
CV001600,,,,,
CV001601,,,,,
CV001604,,,,,
CV001605,,,,,
CV001606,,,,,
CV001619,1510008400,28.0,33.0,1.0,원활
CV001623,1520041400,394.7,44.0,1.0,원활
CV001626,1570037300,367.9,34.0,1.0,원활
CV001627,1560051000,161.8,36.0,1.0,원활
CV001631,1560075702,112.6,27.0,1.0,원활
CV001632,,,,,
CV001634,1560003100,187.7,8.0,3.0,정체
CV001635,1560017600,217.6,53.0,1.0,원활
CV001636,,,,,
CV001637,,,,,
CV001638,,,,,
CV001646,1530003500,160.7,20.0,2.0,지체
CV001678,,,,,
CV001687,,,,,
CV001701,1550007407,235.4,27.0,1.0,원활
CV001706,,,,,
CV001707,,,,,
CV001710,1560074802,200.5,27.0,1.0,원활
CV001719,1540094701,257.5,27.0,1.0,원활
CV001732,1540090402,47.0,38.0,1.0,원활
CV001735,1560004501,362.9,38.0,1.0,원활
CV001743,,,,,
CV001767,1530000503,252.8,28.0,1.0,원활
CV001768,,,,,
CV001779,,,,,
CV001788,,,,,
