incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93171332387,2,2,대구 동구 신천동 743,2714010200,대구 동구 동부로 166-1,1510029600,128.6275057,35.8767407,C0101,,A0502,A0402,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미 방향 4차로 지하 시설 작업 주의운전,A0502,29,2026년 07월 30일  07시 19분,2026년 07월 30일  18시 49분,4차로,동부로,P000,0,0,2026년 07월 30일  07시 20분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171331735,2,255,대구 동구 용계동 437-5,2714011900,대구 동구 화랑로 471,1510045522,128.6753097,35.8754058,C0101,,A0502,A0402,[공사] 화랑로 동대구IC고가교 에서 현대은하맨션 방향 3차로 도로공사 주의운전,A0502,29,2026년 07월 30일  06시 56분,2026년 07월 30일  16시 26분,3차로,화랑로,P000,0,0,2026년 07월 30일  06시 58분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171345129,1,4,대구 중구 삼덕동2가 34,2711010600,대구 중구 공평로8길 36,1500045501,128.6017624,35.8665599,C0101,,A0502,A0402,[사고] 공평로8길 히로미찌찜닭 에서 이디야커피 방향 1차로 화재 주의운전,A0502,29,2026년 07월 30일  13시 50분,2026년 07월 30일  14시 20분,1차로,공평로8길,P000,0,0,2026년 07월 30일  13시 52분,utic,2026-07-30T13:59:23.709873+09:00,사고·기타(1)
L93171335367,2,6,대구 북구 학정동 838-2,2723012000,대구 북구 구리로 29,1540333500,128.55878600402474,35.946299053137004,C0101,,A0502,A0402,[공사] 팔거천동로 동천동959 에서 동호동1875 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 30일  09시 09분,2026년 07월 30일  19시 39분,1차로,팔거천동로,P000,0,0,2026년 07월 30일  09시 13분,utic,2026-07-30T13:59:23.709873+09:00,공사·작업(2)
L93171369893,2,6,대구 중구 남산동 2958-23,2711015600,대구 중구 달구벌대로 1920,1500005500,128.57436079094697,35.86213108082223,C0101,,A0502,A0402,[공사] 달구벌대로 내당네거리 에서 서부교회 방향 3차로 유지보수,A0502,29,2026년 07월 31일  07시 50분,2026년 07월 31일  08시 20분,3차로,달구벌대로,P000,0,0,2026년 07월 31일  07시 57분,utic,2026-07-31T08:19:38.030196+09:00,공사·작업(2)
L93171370043,2,7,대구 중구 포정동 87,2711014300,대구 중구 중앙대로 437-1,1500034301,128.5941885,35.8720798,C0101,,A0502,A0402,[공사] 경상감영길 중앙로역3번출구 에서 포정동87 방향 1차로 도로도색 주의운전,A0502,29,2026년 07월 31일  07시 57분,2026년 07월 31일  10시 27분,1차로,경상감영길,P000,0,0,2026년 07월 31일  07시 58분,utic,2026-07-31T08:19:38.030196+09:00,공사·작업(2)
L93171370197,2,8,대구 수성구 범어동 856,2726010100,대구 수성구 국채보상로 940,1550400900,128.63321858122697,35.86715409243568,C0101,POINT(128.63321858122697 35.867154092435676),A0502,A0402,[공사] 국채보상로 핸즈커피범어MBC점 에서 대경교회 방향 2차로 가로수 벌목 주의운전,A0502,29,2026년 07월 31일  08시 01분,2026년 07월 31일  08시 31분,2차로,국채보상로,P000,0,0,,utic,2026-07-31T08:19:38.030196+09:00,공사·작업(2)
L93171370203,2,6,대구 수성구 범어동 871,2726010100,대구 수성구 범어로 169,1550049400,128.63508291069277,35.864477728231925,C0101,POINT(128.63508291069277 35.864477728231925),A0502,A0402,[공사] 명랑길 대경교회 에서 성화중학교정문 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 31일  08시 02분,2026년 07월 31일  08시 32분,1차로,명랑길,P000,0,0,,utic,2026-07-31T08:19:38.030196+09:00,공사·작업(2)
L93171378868,2,3,대구 수성구 지산동 1234-3,2726011200,대구 수성구 용학로 212,1550056500,128.6316735767401,35.821622982870174,C0101,,A0502,A0402,[공사] 은빛7길 용지초등교 에서 수성로교회 방향 1차로 고가 시설 작업 주의운전,A0502,29,2026년 07월 31일  12시 53분,2026년 07월 31일  17시 23분,1차로,은빛7길,P000,0,0,2026년 07월 31일  12시 59분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171383563,2,13,대구 중구 동인동1가 405-1,2711010100,대구 중구 동덕로 184,1500018300,128.6044636,35.8709209,C0101,,A0502,A0402,[공사] 동덕로 동인치안센터 에서 동인네거리 방향 4차로 노변 유지보수 주의운전,A0502,29,2026년 07월 31일  14시 45분,2026년 07월 31일  16시 15분,4차로,동덕로,P000,0,0,2026년 07월 31일  14시 45분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171384259,2,6,대구 중구 서문로1가 84,2711014400,대구 중구 경상감영길 49,1500034400,128.5895419,35.8713186,C0101,,A0502,A0402,[공사] 경상감영길 정혜선사 에서 서문로119안전센터 방향 1차로 유지보수 주의운전,A0502,29,2026년 07월 31일  15시 07분,2026년 07월 31일  16시 37분,1차로,경상감영길,P000,0,0,2026년 07월 31일  15시 07분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171383224,2,6,대구 달서구 두류동 866-39,2729010200,대구 달서구 달구벌대로 지하 1900,1560483800,128.5723539,35.861832,C0101,,A0502,A0402,[공사] 명덕로 내당네거리 에서 반고개네거리 방향 3차로 유지보수 주의운전,A0502,29,2026년 07월 31일  14시 38분,2026년 07월 31일  16시 08분,3차로,명덕로,P000,0,0,2026년 07월 31일  14시 39분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
L93171381191,2,255,대구 달성군 화원읍 설화리 877-1,2771025024,대구 달성군 화원읍 비슬로479길 6-4,1570013000,128.4820668,35.7948082,C0101,,A0502,A0402,[공사] 비슬로 화원IC삼거리 에서 기세교동측 방향 3차로 도로공사 주의운전,A0502,29,2026년 07월 31일  13시 48분,2026년 07월 31일  17시 00분,3차로,비슬로,P000,0,0,2026년 07월 31일  13시 49분,utic,2026-07-31T15:29:04.517682+09:00,공사·작업(2)
