station_key,충전소명,시군구,지역,sessions,kwh_sum,kwh_mean,months
성서운동장|달서구,성서운동장,달서구,대구광역시,641,15663.87,24.436614664586585,8
해안동 공영주차장|동구,해안동 공영주차장,동구,대구광역시,613,17661.6,28.811745513866228,8
달성습지생태학습관|달성군,달성습지생태학습관,달성군,대구광역시,613,16388.67,26.735187601957584,8
이곡2동주민센터|달서구,이곡2동주민센터,달서구,대구광역시,588,8991.45,15.291581632653063,8
달성군종합사회복지관|달성군,달성군종합사회복지관,달성군,대구광역시,582,13922.2,23.9213058419244,8
구지면사무소|달성군,구지면사무소,달성군,대구광역시,580,10456.87,18.029086206896555,8
황금2동주민센터 앞 공영주차장|수성구,황금2동주민센터 앞 공영주차장,수성구,대구광역시,559,11829.47,21.161842576028622,8
대구환경공단 달성사업소|달성군,대구환경공단 달성사업소,달성군,대구광역시,548,12458.06,22.73368613138686,8
대구지방기상청|동구,대구지방기상청,동구,대구광역시,530,15617.18,29.466377358490565,8
논공읍행정복지센터|달성군,논공읍행정복지센터,달성군,대구광역시,524,10988.24,20.96992366412214,8
대구재활센터|달서구,대구재활센터,달서구,대구광역시,512,12658.32,24.72328125,8
비원노인복지관|서구,비원노인복지관,서구,대구광역시,495,10721.22,21.659030303030303,8
