horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
15,known_charger_count,296449,0.0,20,0.9260142554031217,0.10439892299292343,0.0,0.12355032164524697,0.6177335513512118,0.618167974159162,0.6022395348638292,0.6324441929268279,0.010934039454331579,0.0
15,direct_observed_count,296449,0.0,20,0.9260142554031217,0.09980426985900118,0.0,0.11238725057076158,0.6121471193378052,0.6259074323194022,0.6066251853089242,0.6531126398325942,0.00923089005570632,0.0
15,total_chargers,296449,0.0,37,0.9260142554031217,0.1109247095081557,0.0,0.2017686161856165,0.7101599530160462,0.7097966387394169,0.6923585473376506,0.7238779709288184,0.024771403316322438,0.0
15,observation_coverage,296449,0.0,148,0.9260142554031217,-0.13420151176177836,0.0,-0.13652372795648557,0.6154768228908252,0.6149507933244114,0.6059909299016478,0.6233051306926594,0.02119602766941675,0.0
15,direct_observation_coverage,296449,0.0,115,0.9260142554031217,-0.0225363140102005,1.282360392876112e-34,-0.02126291182942812,0.520068696433674,0.5024824786712019,0.500977048248728,0.5415691588973647,0.015690270552549457,1.5571519056352788e-34
15,observation_age_minutes,296449,0.0,425,0.9260142554031217,-0.04886664484902432,3.7490011969203986e-156,-0.05294939340805375,0.5378065121883097,0.547944925000697,0.5255277440814976,0.5821435281135726,0.00038959230948942825,5.793910940695161e-156
15,available_count_delta_1tick,262185,0.1155814322193699,24,0.9402063428495147,0.1370144510689624,0.0,0.14035788565084442,0.6031025848221266,0.5947130395997512,0.5713323549401432,0.6245348787488288,0.012933058269314568,0.0
15,minutes_since_last_change,296449,0.0,30571,0.9260142554031217,0.09736575185041518,0.0,0.19955345324954316,0.7185498764334142,0.7049803062936219,0.6825254930356437,0.7244810488941669,0.024700565462406843,0.0
15,hour,296449,0.0,24,0.9260142554031217,-0.04817452167915686,8.200666733807796e-152,-0.05128705205219202,0.5565086267510387,0.5217798277897046,0.5024270535608488,0.5536413149954819,0.003723387387271293,1.161761120622771e-151
15,weekday,296449,0.0,7,0.9260142554031217,0.001752921020100549,0.3398751844655178,0.0010893718936677008,0.5011817037774599,0.5022507922788823,0.5006309973683609,0.5218395318405548,0.0010686066055691779,0.3398751844655178
15,is_weekend,296449,0.0,2,0.9260142554031217,0.006560413472700383,0.00035429214139950953,0.0065604134727003495,0.5050271197409569,0.5034850977221401,0.5002985646801567,0.5177924934192961,0.0011838340792003077,0.0004015310935861108
15,sessions_per_charger,20963,0.9292863190633127,192,0.741783141725898,-0.09740097563265311,2.3087286494135313e-45,-0.12906507516079888,0.5851144291787723,0.5857647653576056,0.5679249990891327,0.6062924506703838,0.11521091876148737,3.0191066953869254e-45
15,usage_daytype_avg,20963,0.9292863190633127,362,0.741783141725898,0.014959855821765051,0.03031344483004211,-0.021571765139139474,0.5142272592538031,0.5163284402708553,0.5036032127828733,0.5318992896712426,0.11781685691341437,0.03220803513191974
