충전소ID,기준시각,사용가능_대수,전체_충전기수,관측_가용률,상태신뢰도_등급,관측신선도_등급,좌표_유효,확정가용_여부,위도,경도,미관측_비율,상태경과_분,관측경과_분
HM000486,2026-08-09T07:23:21+09:00,19,19,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.905836471,128.54357945,0.0,157.25,150.16666666666666
HM000492,2026-08-09T07:23:21+09:00,6,7,0.8571428571428571,확인필요(15분초과),확인필요(15분초과),True,True,35.658707435,128.42126396,0.0,95.26666666666667,90.1
HM000504,2026-08-09T07:23:21+09:00,4,5,0.8,확인필요(15분초과),확인필요(15분초과),True,True,35.692165056,128.45822834,0.0,367.21666666666664,360.3333333333333
HM000514,2026-08-09T07:23:21+09:00,6,19,0.3157894736842105,확인필요(15분초과),확인필요(15분초과),True,True,35.864642073,128.45988708,0.0,53.233333333333334,50.06666666666667
HM000515,2026-08-09T07:23:21+09:00,10,15,0.7142857142857143,보통(5~15분),보통(5~15분),True,True,35.8670958,128.4948181,0.06666666666666667,13.183333333333334,10.016666666666667
HM000516,2026-08-09T07:23:21+09:00,8,8,1.0,확인필요(15분초과),보통(5~15분),True,True,35.9306336,128.5544913,0.0,19.266666666666666,10.016666666666667
HM000519,2026-08-09T07:23:21+09:00,28,30,0.9333333333333333,확인필요(15분초과),확인필요(15분초과),True,True,35.875528732,128.61795627,0.0,53.21666666666667,50.06666666666667
HM000520,2026-08-09T07:23:21+09:00,9,9,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.876377587,128.4790331,0.0,85.25,80.1
HM000521,2026-08-09T07:23:21+09:00,10,10,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.875488919,128.47910881,0.0,1965.2,1960.0
HM000522,2026-08-09T07:23:21+09:00,26,37,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.8249592,128.524067,0.2972972972972973,219.26666666666668,210.2
HM000579,2026-08-09T07:23:21+09:00,9,9,1.0,확인필요(15분초과),확인필요(15분초과),True,True,35.872931524,128.72519928,0.0,281.21666666666664,280.25
