statId,busiId,busiNm,bnm,match_name,fee_operator_nm,fee_match_level,fee_type_sample,capacity_class_sample,member_won_sample,nonmember_won_sample,fee_updated_at_sample
ME19F260,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19F410,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19F412,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19W401,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19X404,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19X405,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19X413,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19X430,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19Y406,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME19Z223,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C182,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C183,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C184,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C185,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C186,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C187,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C188,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C189,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
ME20C285,ME,기후에너지환경부,기후에너지환경부,기후에너지환경부,기후에너지환경부,OPERATOR_TYPE,대표,급속(100kW미만),324.4,324.4,2026-07-21
