matched_id,parking_name,parking_addr,parking_type,parking_spaces,best_grade,best_distance_m,ev_station_count,best_statId,best_charger_name,evidence
156-1-000001,강창역 남편,대구광역시 달서구 파호동 82-39,공영,54,NEARBY_ONLY,98.0,1,PI700098,성서삼성명가타운,좌표 거리 98.0m · 거리만 가까움: 현장/주소 검토 필요
151-1-000012,대구동부고용복지플러스 센터 앞,대구광역시 동구 신암동 165-20,공영,8,NEARBY_ONLY,98.0,4,PW013317,동대구우방아이유쉘 입주자대표회의,좌표 거리 98.0m · 거리만 가까움: 현장/주소 검토 필요
155-2-000048,수성구 무료공영주차장,대구광역시 수성구 파동 581-151,공영,11,NEARBY_ONLY,98.2,1,HM000763,우방대자연1차,좌표 거리 98.2m · 거리만 가까움: 현장/주소 검토 필요
155-1-000040,대륜고등학교 서편,대구광역시 수성구 만촌동 865-7,공영,34,NEARBY_ONLY,98.3,1,TS272606,대구만촌3차화성파크드림,좌표 거리 98.3m · 거리만 가까움: 현장/주소 검토 필요
154-1-000277,팔거천서로35길,대구광역시 북구 읍내동 1348,공영,37,NEARBY_ONLY,98.6,3,KP001599,삼진목화 아파트,좌표 거리 98.6m · 거리만 가까움: 현장/주소 검토 필요
155-1-000030,대구만촌역태왕아너스APT 북편,대구광역시 수성구 만촌동 850,공영,4,NEARBY_ONLY,98.7,4,PW015054,만촌역서한포레스트관리위원회,좌표 거리 98.7m · 거리만 가까움: 현장/주소 검토 필요
152-1-000035,달서천로(달서교~평리교)-4,대구광역시 서구 평리동 107-9,공영,7,NEARBY_ONLY,98.8,1,PI000237,대구시 서부소방서,좌표 거리 98.8m · 거리만 가까움: 현장/주소 검토 필요
153-2-000041,임시 공영주차장(공한지),대구광역시 남구 대명1동 1651-19번지,공영,4,NEARBY_ONLY,99.1,1,ME18C175,대명1동 행정복지센터,좌표 거리 99.1m · 거리만 가까움: 현장/주소 검토 필요
151-1-000187,효목로17길,대구광역시 동구 효목동 146-15,공영,22,NEARBY_ONLY,99.4,1,HM000060,태왕메트로시티,좌표 거리 99.4m · 거리만 가까움: 현장/주소 검토 필요
153-2-000042,임시 공영주차장(공한지),대구광역시 남구 대명3동 1728-28번지,공영,4,NEARBY_ONLY,99.6,1,CV001562,한국도로교통공단 대구교통방송,좌표 거리 99.6m · 거리만 가까움: 현장/주소 검토 필요
157-1-000002,과학마을로B,대구광역시 달성군 구지면 응암리 1206-2,공영,15,NEARBY_ONLY,99.9,1,HY001612,대구 과학마을청아람,좌표 거리 99.9m · 거리만 가까움: 현장/주소 검토 필요
