statId,chgerId,statNm,addr,lat,lng,busiNm,parkingFree,limitYn,delYn,fetchedAt
ME18C261,11,중앙119 구조본부,대구광역시 달성군 구지면 구지서로1,35.665818708,128.39136796,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C261,12,중앙119 구조본부,대구광역시 달성군 구지면 구지서로1,35.665818708,128.39136796,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C262,11,비슬산 숲속 캠핑장,대구광역시 달성군 유가읍 용리 15-1*,35.691775371,128.50952414,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C262,12,비슬산 숲속 캠핑장,대구광역시 달성군 유가읍 용리 15-1*,35.691775371,128.50952414,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C263,11,달성문화원,대구광역시 달성군 현풍면 현풍동로 92,35.698719064,128.45146032,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C263,12,달성문화원,대구광역시 달성군 현풍면 현풍동로 92,35.698719064,128.45146032,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C264,11,북구구민 운동장,대구광역시 북구 구암로 391,35.945710,128.573823,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C264,12,북구구민 운동장,대구광역시 북구 구암로 391,35.945710,128.573823,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C265,11,서재문화체육센터,대구광역시 달성군 다사읍 다사로 750,35.884605,128.504816,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C265,12,서재문화체육센터,대구광역시 달성군 다사읍 다사로 750,35.884605,128.504816,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C405,11,대구광역시청 별관,대구광역시 북구 연암로 40,35.891,128.601,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C405,12,대구광역시청 별관,대구광역시 북구 연암로 40,35.891,128.601,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C405,13,대구광역시청 별관,대구광역시 북구 연암로 40,35.891,128.601,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME18C405,14,대구광역시청 별관,대구광역시 북구 연암로 40,35.891,128.601,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C130,01,소보면사무소 주차장,대구광역시 군위군 소보면 송백로 1415,36.255139,128.475417,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C143,01,달성군 보건소,대구광역시 달성군 현풍읍 하리 253-2,35.691944,128.446389,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C227,21,현풍백년도깨비시장 공영주차장,대구광역시 달성군 현풍읍 원교리 12-1,35.6949127,128.4407276,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C227,22,현풍백년도깨비시장 공영주차장,대구광역시 달성군 현풍읍 원교리 12-1,35.6949127,128.4407276,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C289,21,군위군 종합운동장,대구광역시 군위군 군위읍 내량길 28-28,36.2465,128.55675,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C289,22,군위군 종합운동장,대구광역시 군위군 군위읍 내량길 28-28,36.2465,128.55675,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C403,41,칠곡3지구 공영주차장,대구광역시 북구 구암동 771-2,35.942111,128.566139,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C403,42,칠곡3지구 공영주차장,대구광역시 북구 구암동 771-2,35.942111,128.566139,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C403,43,칠곡3지구 공영주차장,대구광역시 북구 구암동 771-2,35.942111,128.566139,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C403,44,칠곡3지구 공영주차장,대구광역시 북구 구암동 771-2,35.942111,128.566139,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C404,21,무학산공원,대구광역시 수성구 지산동 880-2,35.834083,128.629750,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C404,22,무학산공원,대구광역시 수성구 지산동 880-2,35.834083,128.629750,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C404,23,무학산공원,대구광역시 수성구 지산동 880-2,35.834083,128.629750,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19C404,24,무학산공원,대구광역시 수성구 지산동 880-2,35.834083,128.629750,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19D114,01,장군졸음쉼터,대구광역시 군위군 효령면 경북대로 2384,36.1361114,128.580242,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19D216,01,관사정문 주차장,대구광역시 동구 둔산동 934-3,35.90203809,128.67347406,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19D216,91,관사정문 주차장,대구광역시 동구 둔산동 934-3,35.90203809,128.67347406,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E138,01,우보면사무소 주차장,대구광역시 군위군 우보면 이화리 1196-7,36.194544,128.661596,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E139,01,장곡휴양림 주차장,대구광역시 군위군 삼국유사면 장곡휴양림길 195,36.1298268,128.8352604,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E161,01,범어2동 행정복지센터,대구광역시 수성구 범어동 415-4,35.862038,128.631209,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E215,21,월광수변공원,대구광역시 달서구 도원동 928,35.805949368,128.54760518,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E215,22,월광수변공원,대구광역시 달서구 도원동 928,35.805949368,128.54760518,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E216,21,달성군청,대구광역시 달성군 논공읍 금포리 1313,35.77556,128.432063,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E216,22,달성군청,대구광역시 달성군 논공읍 금포리 1313,35.77556,128.432063,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E217,21,수성생활체육공원,대구광역시 수성구 지산동 산 136,35.8186,128.6354,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19E217,22,수성생활체육공원,대구광역시 수성구 지산동 산 136,35.8186,128.6354,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F260,01,아미산 주차장,대구광역시 군위군 삼국유사면 삼국유사로 1122,36.1687232,128.8379913,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F260,02,아미산 주차장,대구광역시 군위군 삼국유사면 삼국유사로 1122,36.1687232,128.8379913,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F410,01,위천수변 테마공원,대구광역시 군위군 효령면 간동길 3-18,36.1765379,128.5843985,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F410,02,위천수변 테마공원,대구광역시 군위군 효령면 간동길 3-18,36.1765379,128.5843985,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F410,03,위천수변 테마공원,대구광역시 군위군 효령면 간동길 3-18,36.1765379,128.5843985,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F410,04,위천수변 테마공원,대구광역시 군위군 효령면 간동길 3-18,36.1765379,128.5843985,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F412,01,물산업클러스터,대구광역시 달성군 구지면 국가산단대로40길 20,35.645238359,128.41948475,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F412,02,물산업클러스터,대구광역시 달성군 구지면 국가산단대로40길 20,35.645238359,128.41948475,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F412,03,물산업클러스터,대구광역시 달성군 구지면 국가산단대로40길 20,35.645238359,128.41948475,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
ME19F412,04,물산업클러스터,대구광역시 달성군 구지면 국가산단대로40길 20,35.645238359,128.41948475,기후에너지환경부,Y,N,N,2026-08-03 12:40:16
