statId,statNm,lat,lng,origin_id,origin_label,origin_lat,origin_lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_eta_minutes_int,tmap_road_km,tmap_http,tmap_error,fetched_at_kst,eta_source
ME21B262,군위(춘천) 휴게소,36.2658005,128.5768088,dongdaegu,동대구역 인근,35.8797,128.6284,43.182,86.4,52.9,53.0,50.599,200,,2026-08-07T16:22:24+09:00,tmap_routes_trafficInfo_Y
ME21B301,한국산업단지공단 대구지역본부,35.8359798,128.5063884,dongdaegu,동대구역 인근,35.8797,128.6284,12.022,24.0,34.6,35.0,18.513,200,,2026-08-07T16:22:24+09:00,tmap_routes_trafficInfo_Y
ME21C219,근로복지공단 대구병원,35.951406,128.564869,dongdaegu,동대구역 인근,35.8797,128.6284,9.814,19.6,29.5,30.0,12.824,200,,2026-08-07T16:22:25+09:00,tmap_routes_trafficInfo_Y
ME21C228,대구성서경찰서,35.853128,128.509392,dongdaegu,동대구역 인근,35.8797,128.6284,11.123,22.2,31.6,32.0,16.694,200,,2026-08-07T16:22:25+09:00,tmap_routes_trafficInfo_Y
ME21E401,낙동강 물환경연구소,35.6539132,128.4221178,dongdaegu,동대구역 인근,35.8797,128.6284,31.252,62.5,52.7,53.0,44.592,200,,2026-08-07T16:22:26+09:00,tmap_routes_trafficInfo_Y
ME22C189,군위경찰서,36.2347847,128.5666862,dongdaegu,동대구역 인근,35.8797,128.6284,39.871,79.7,52.0,52.0,47.09,200,,2026-08-07T16:22:26+09:00,tmap_routes_trafficInfo_Y
ME22C193,군위군노인복지관,36.2320257,128.5706331,dongdaegu,동대구역 인근,35.8797,128.6284,39.519,79.0,51.4,51.0,46.743,200,,2026-08-07T16:22:27+09:00,tmap_routes_trafficInfo_Y
ME22C1A1,대구달서경찰서,35.8300093,128.5338376,dongdaegu,동대구역 인근,35.8797,128.6284,10.157,20.3,46.4,46.0,14.065,200,,2026-08-07T16:22:27+09:00,tmap_routes_trafficInfo_Y
ME22C1A2,대구재활센터,35.8442461,128.4860036,dongdaegu,동대구역 인근,35.8797,128.6284,13.424,26.8,39.2,39.0,19.669,200,,2026-08-07T16:22:28+09:00,tmap_routes_trafficInfo_Y
ME22C1A3,비원노인복지관,35.8819033,128.5557923,dongdaegu,동대구역 인근,35.8797,128.6284,6.546,13.1,27.1,27.0,8.324,200,,2026-08-07T16:22:28+09:00,tmap_routes_trafficInfo_Y
ME22C1A4,달성군종합사회복지관,35.7302262,128.4517363,dongdaegu,동대구역 인근,35.8797,128.6284,23.023,46.0,49.7,50.0,35.968,200,,2026-08-07T16:22:29+09:00,tmap_routes_trafficInfo_Y
