horizon_minutes,feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
10,history_observed,223750,0.0,2,0.9169296089385475,-0.23274515976575344,0.0,-0.23274515976574714,0.6164721591441205,0.6196582642530875,0.6081163590300867,0.6329112751111184,0.018310524942247275,0.0
10,unobserved_rate,223750,0.0,127,0.9169296089385475,0.16413357494904793,0.0,0.16847795900210824,0.6396219504399402,0.6285650482151921,0.6162958414568774,0.6423056250536098,0.02204829435257305,0.0
15,horizon_minutes,205253,0.0,1,0.9281228532591485,,,,,,,,,
15,available_count,205253,0.0,20,0.9281228532591485,0.21535309644635858,0.0,0.2875804500080961,0.7908730543349606,0.7892513368983956,0.7682701210371436,0.8094043309133794,0.05451721851828473,0.0
15,usable_count,205253,0.0,19,0.9281228532591485,0.14195742986500104,0.0,0.17740460431198715,0.671677795147497,0.6800388229251639,0.6610528476991848,0.6983600922240515,0.022034754144848456,0.0
15,known_charger_count,205253,0.0,19,0.9281228532591485,0.10832506281882329,0.0,0.1254068340134982,0.6207956383442987,0.6084374150276443,0.590128483823807,0.6242483456169566,0.011685120292601159,0.0
15,direct_observed_count,205253,0.0,20,0.9281228532591485,0.10695049026565541,0.0,0.1179592690956354,0.6195414648526489,0.61368923532433,0.594602746662423,0.637887079756448,0.011124011941441303,0.0
15,total_chargers,205253,0.0,33,0.9281228532591485,0.11249348877274161,0.0,0.2037217432288076,0.7149376317962289,0.7060834164174145,0.6884435350900935,0.7232519956229113,0.026203914241999637,0.0
15,observation_coverage,205253,0.0,127,0.9281228532591485,-0.13430748268788897,0.0,-0.13676840584853459,0.6174224960339931,0.617851445663011,0.6092216866116401,0.6249559879481861,0.020136376287420488,0.0
15,direct_observation_coverage,205253,0.0,98,0.9281228532591485,-0.013948305893942619,2.6236197999957063e-10,-0.012115825265446252,0.5116075933130197,0.5078600561950513,0.5012807807692308,0.5420690231571947,0.015649378008953274,3.185824042851929e-10
15,observation_age_minutes,205253,0.0,419,0.9281228532591485,-0.05033674362791109,2.9487596553947334e-115,-0.05806071356348485,0.5427554342343823,0.5478059760113598,0.525590464111295,0.5782478428509065,0.002515918196939193,4.55717401288277e-115
15,available_count_delta_1tick,183401,0.10646373012818322,20,0.9400548524817204,0.12872431245840738,0.0,0.13149642586202265,0.5934156568093689,0.5678855919944055,0.5408945055082537,0.5915537771350521,0.00938218223555487,0.0
15,minutes_since_last_change,205253,0.0,18448,0.9281228532591485,0.10523977882814181,0.0,0.19104198264062577,0.7123278142814675,0.696658207196592,0.6754178942111183,0.720349377570974,0.026468077762353825,0.0
15,hour,205253,0.0,24,0.9281228532591485,-0.037067593671185804,2.478143919518253e-63,-0.04155791632777493,0.5463995977151673,0.5172089791232364,0.5010863190748378,0.5583634158236171,0.004147004847017133,3.5107038859841915e-63
15,weekday,205253,0.0,7,0.9281228532591485,0.004631467710705196,0.0358805716110597,0.00456559550403729,0.5050326175929696,0.5033233632436025,0.5002902366925426,0.5341621986105869,0.0011103987492484535,0.040664647825867664
15,is_weekend,205253,0.0,2,0.9281228532591485,0.0013210880159933364,0.5494972585874125,0.001321088015992714,0.5011620189176347,0.5028701773467477,0.5005396947830644,0.5217762719432211,0.0009080656829405509,0.5494972585874125
