statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
PW000093,옥포세광무지개마을-106동,대구광역시 달성군 옥포면 본리로 102,35.79536,128.453856,1,1,0,Y
PW000094,용산우방미진태왕타운 P1,대구광역시 달서구 용산서로 21(용산동),35.856205,128.527731,1,1,0,Y
PW000095,용산우방미진태왕타운 P2,대구광역시 달서구 용산서로 21(용산동),35.856205,128.527732,1,1,0,Y
PW000096,용산우방미진태왕타운 P3,대구광역시 달서구 용산서로 21(용산동),35.856205,128.527733,1,1,0,Y
PW000097,용산우방미진태왕타운 P4,대구광역시 달서구 용산서로 21(용산동),35.856205,128.527736,1,1,0,Y
PW000101,더리치모텔,대구광역시 동구 반야월로 5(용계동),35.8744122,128.688944,2,2,0,Y
PW000102,호텔 맥심,대구광역시 동구 동부로22길 80(신천동),35.869518,128.626969,2,2,0,Y
PW000112,태전우방타운-101동,"대구광역시 북구 매천로 220(태전동, 태전우방아파트)",35.917512,128.54337,2,2,0,Y
PW000113,태전우방타운-103동,"대구광역시 북구 매천로 220(태전동, 태전우방아파트)",35.917512,128.543371,1,1,0,Y
PW000121,성당동두산위브,대구광역시 달서구 당산로 82,35.8449,128.545436,5,5,0,Y
PW000224,삼정브리티시용산상가관리단,"대구광역시 달서구 달구벌대로 1530 (감삼동, 삼정브리티시용산)",35.8494264,128.5340379,2,2,0,Y
PW000243,범어청구하이츠-109동,대구광역시 수성구 청호로84안길 2,35.853624,128.640729,1,1,0,Y
PW000244,범어청구하이츠-110동,대구광역시 수성구 청호로84안길 2,35.853663,128.641211,1,1,0,Y
PW000259,진흥더블파크-102동,대구광역시 달성군 다사읍 서재로24길 29,35.872435,128.499814,3,3,0,Y
PW000260,진흥더블파크-103동,대구광역시 달성군 다사읍 서재로24길 29,35.872388,128.500775,2,2,0,Y
PW000261,진흥더블파크-105동,대구광역시 달성군 다사읍 서재로24길 29,35.872975,128.500752,2,2,0,Y
PW000262,진흥더블파크-106동,대구광역시 달성군 다사읍 서재로24길 29,35.873606,128.500645,1,1,0,Y
PW000277,극동스타클래스남산,대구광역시 중구 남산로 30 1층(남산동),35.859861,128.582879,2,2,0,Y
PW000288,팔공보성타운,대구광역시 동구 팔공로 489,35.941512,128.644758,3,3,0,Y
PW000289,팔공보성타운 B4,대구광역시 동구 팔공로 489,35.941512,128.644759,3,3,0,Y
PW000290,팔공보성타운 B5,대구광역시 동구 팔공로 489,35.941512,128.644754,1,1,0,Y
PW000292,온수장,대구광역시 동구 동부로28길 17,35.8745512,128.6284555,1,1,0,Y
PW000293,아인스,대구광역시 동구 동부로26길 63,35.870207,128.628330,2,2,0,Y
PW000295,오투,대구광역시 서구 국채보상로42길 8,35.8695129,128.5540234,1,1,0,Y
PW000296,스타모텔,대구광역시 남구 이천로 69,35.8474872,128.5982628,2,2,0,Y
PW000305,워싱턴모텔,대구광역시 서구 팔달로 180,35.8882665,128.569838,2,2,0,Y
PW000306,동대구써비스,대구광역시 동구 동촌로 17,35.891299,128.6453191,2,2,0,Y
PW000307,신현대1급정비공장,대구광역시 서구 팔달로2길 43,35.891447,128.547945,2,2,0,Y
PW000335,칠곡대백맨션-107동,대구광역시 북구 관음로 24,35.932438,128.540909,2,2,0,Y
PW000336,칠곡대백맨션-108동,대구광역시 북구 관음로 24,35.932334,128.541837,2,2,0,Y
PW000338,"삼성-1,2,4동",대구광역시 북구 칠곡중앙대로52길 20,35.919606,128.548894,1,1,0,Y
PW000339,"삼성-3,5동",대구광역시 북구 칠곡중앙대로52길 20,35.920307,128.549763,1,1,0,Y
PW000340,삼성-6동,대구광역시 북구 칠곡중앙대로52길 20,35.920899,128.548863,1,1,0,Y
PW000341,삼성-7동,대구광역시 북구 칠곡중앙대로52길 20,35.920126,128.547909,1,1,0,Y
PW000459,침산1차푸르지오1단지-103동지하2층,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",35.885943,128.587790,3,3,0,Y
PW000460,"침산1차푸르지오1단지-105,106동지하2층","대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",35.885943,128.587790,5,5,0,Y
PW000461,침산1차푸르지오1단지-오피스텔동 지하2층,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",35.885943,128.587790,2,2,0,Y
PW000462,침산1차푸르지오2단지-203동,대구광역시 북구 옥산로 103,35.8845215,128.5866897,3,3,0,Y
PW000463,침산1차푸르지오2단지-205동,대구광역시 북구 옥산로 103,35.884521506,128.58668965,4,4,0,Y
PW000555,복현보성타운-107동,대구광역시 북구 검단로 64,35.90349,128.617545,2,2,0,Y
PW000556,복현보성타운-108동,대구광역시 북구 검단로 64,35.903642,128.617037,2,2,0,Y
PW000557,침산태왕리더스,대구광역시 북구 침산남로 80,35.889181,128.583976,2,2,0,Y
PW000576,북부정비검사소,대구광역시 북구 동북로 47,35.902409,128.59919,2,2,0,Y
PW000584,신매역우방유쉘,대구광역시 수성구 천을로23길 21,35.845997,128.704319,1,1,0,Y
PW000621,태왕아너스리버파크,대구광역시 동구 공항로54길 51,35.892404,128.639895,1,1,0,Y
PW000623,대봉태왕아너스,대구광역시 중구 동덕로 55,35.859726,128.603113,2,2,0,Y
PW000787,보성종합정비,대구광역시 서구 북비산로 87 (이현동),35.8790142,128.542754,2,2,0,Y
PW000788,갑오자동차정비공장,대구광역시 달성군 가창면 가창로 970 (용계리),35.7926608,128.6299158,2,2,0,Y
PW000789,수성정비센터,대구광역시 수성구 유니버시아드로68길 13 (욱수동),35.8276998,128.7075361,2,2,0,Y
PW000790,자동차시대정비공장,대구광역시 동구 공항로 143 (불로동),35.9014986,128.6303399,2,2,0,Y
PW000805,영조아름다운나날3단지-315,대구광역시 동구 동호로 132,35.866647,128.731969,1,1,0,Y
PW000806,영조아름다운나날3단지-316,대구광역시 동구 동호로 132,35.8661,128.730638,1,1,0,Y
PW000807,영조아름다운나날3단지-317,대구광역시 동구 동호로 132,35.86616,128.731969,1,1,0,Y
PW000808,영조아름다운나날3단지-318,대구광역시 동구 동호로 132,35.865691,128.730756,1,1,0,Y
PW000809,유니버시아드선수촌1단지-101동,대구광역시 북구 동변로 50,35.918303,128.604256,2,2,0,Y
PW000810,유니버시아드선수촌1단지-102동,대구광역시 북구 동변로 50,35.917799,128.604245,2,2,0,Y
PW000811,유니버시아드선수촌1단지-103동,대구광역시 북구 동변로 50,35.917330,128.604384,2,2,0,Y
PW000812,유니버시아드선수촌1단지-104동,대구광역시 북구 동변로 50,35.916835,128.604363,3,3,0,Y
