pkltId,pkltNm,lat,lng,roadNmAddr,lotnoAddr,유료무료,요금수준,일반1시간요금,일반1일요금,결제수단,collected_at
152-2-000001,내당4동 공영주차장,35.856872,128.54581,,대구광역시 서구 내당동 426-3번지,유료,일반주차장,,6000.0,현금,2026-08-03 12:10:21
152-2-000002,감삼공원주차장,35.858119,128.551232,,대구광역시 서구 내당동 463-7번지,무료,일반주차장,,,현금,2026-08-03 12:10:21
152-2-000003,반고개무침회골목 공영주차장,35.862461,128.570801,,대구광역시 서구 내당동 885번지,유료,일반주차장,,6000.0,,2026-08-03 12:10:21
152-2-000004,공한지주차장(임시무료공영주차장),35.885145,128.570043,,대구광역시 서구 비산동1025-45번지,무료,일반주차장,,,카드,2026-08-03 12:10:21
152-2-000005,공한지주차장(임시공영주차장),35.884947,128.571862,,대구광역시 서구 비산동 1104-40번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000006,비산5동 공영주차장,35.886492,128.569318,,대구광역시 서구 비산동 1185-6번지,유료,일반주차장,,4000.0,,2026-08-03 12:10:21
152-2-000007,달성토성공영주차장,35.875117,128.576191,,대구광역시 서구 비산동 130-12번지,유료,일반주차장,5000.0,,카드,2026-08-03 12:10:21
152-2-000008,임시공영주차장,35.868691,128.575072,,대구광역시 서구 비산동 196-71번지,무료,일반주차장,,,현금,2026-08-03 12:10:21
152-2-000009,비산4동임시공영주차장,35.868893,128.573525,,대구광역시 서구 비산동 200-59번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000010,공한지주차장(임시무료공영주차장),35.886582,128.552447,,대구광역시 서구 비산동 2008-201번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000011,비산4동 공영주차장,35.8701,128.573501,,대구광역시 서구 비산동 223-70번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000012,임시무료공영주차장,35.868348,128.5733,,대구광역시 서구 비산동 273-11번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000013,서부시장 공영주차장,35.875521,128.573151,,대구광역시 서구 비산동 434-7번지,유료,일반주차장,,9000.0,,2026-08-03 12:10:21
152-2-000014,공한지주차장(임시공영주차장),35.877395,128.570345,,대구광역시 서구 비산동 510-13번지,무료,일반주차장,,,카드,2026-08-03 12:10:21
152-2-000015,공한지주차장(임시무료공영주차장),35.881234,128.571731,,대구광역시 서구 비산동 52-44번지,무료,일반주차장,,,,2026-08-03 12:10:21
152-2-000016,비산6동 공영주차장,35.878117,128.569998,,대구광역시 서구 비산동 525-2번지,유료,일반주차장,,6000.0,,2026-08-03 12:10:21
152-2-000017,인동촌 공영주차장,35.878736,128.573714,,대구광역시 서구 비산동 71-3번지,유료,일반주차장,2100.0,8000.0,현금,2026-08-03 12:10:21
152-2-000018,비산1동 공한지주차장(비산1동 임시공영주차장),35.882718,128.566048,,대구광역시 서구 비산동 772-60번지,무료,일반주차장,,,카드,2026-08-03 12:10:21
