pkltId,pkltNm,lat,lng,roadNmAddr,유료무료
151-1-000063,방촌동 855-16 노상주차장,35.880401,128.67291,,무료
151-1-000064,방촌동 890-64 노상주차장,35.881492,128.668213,,무료
151-1-000065,방촌동 897-8 노상주차장,35.882631,128.6663,,무료
151-1-000066,방촌로11길,35.887746,128.660399,,무료
151-1-000067,방촌로1길,35.886558,128.660254,,무료
151-1-000068,방촌로3길,35.887947,128.659962,,무료
151-1-000069,불로시장 입구,35.909735,128.641549,,무료
151-1-000070,산격에덴아파트,35.913889,128.639367,,무료
151-1-000071,상공회의소 뒤편1주차장,35.874654,128.624538,,유료
151-1-000072,상공회의소 뒤편2주차장,35.87335,128.624604,,유료
151-1-000073,상공회의소 뒤편3주차장,35.871627,128.624557,,유료
151-1-000074,서원프레시빌 아파트 앞,35.872626,128.734535,,무료
151-1-000075,송라로2길,35.869582,128.621111,,무료
151-1-000076,송라로3길,35.869867,128.618986,,무료
151-1-000077,송라로6길,35.870476,128.622045,,무료
151-1-000078,신기모란3차아파트 (1),35.868837,128.704106,,무료
151-1-000079,신기모란3차아파트 (2),35.868847,128.7042,,무료
151-1-000080,신서화성파크드림아파트 잎,35.873937,128.721171,,무료
151-1-000081,신암그린타운 앞,35.878788,128.611855,,무료
151-1-000082,신암남로23길 (1),35.88301,128.627896,,무료
151-1-000083,신암남로23길 (2),35.882952,128.628016,,무료
151-1-000084,신암남로23길 (3),35.884611,128.628642,,무료
151-1-000085,신암남로23길 (4),35.884783,128.629909,,무료
151-1-000086,신암남로23길 (5),35.884888,128.630028,,무료
151-1-000087,신암남로24길,35.882057,128.633229,,무료
151-1-000088,신암청아람 (남서),35.878925,128.611903,,무료
151-1-000089,신암청아람 (동),35.879622,128.614188,,무료
151-1-000090,신암청아람 (북),35.880306,128.613599,,무료
151-1-000091,신암청아람 (서),35.879454,128.611626,,무료
151-1-000092,신천LH 아파트 앞,35.874334,128.61445,,무료
151-1-000093,신천청아람아파트 (남),35.87307,128.622326,,무료
151-1-000094,신천청아람아파트 (남서),35.873334,128.621332,,무료
151-1-000095,신천청아람아파트 (동),35.873704,128.622934,,무료
151-1-000096,신천청아람아파트 (북),35.874082,128.621362,,무료
151-1-000097,신천희망로 공영주차장,35.873807,128.62383,,유료
151-1-000098,신평로16길,35.877719,128.679359,,무료
151-1-000099,아양로11길,35.886177,128.621626,,무료
151-1-000100,아양로22길 (1),35.882112,128.62713,,무료
151-1-000101,아양로22길 (2),35.882026,128.627218,,무료
151-1-000102,아양로24길,35.88447,128.62763,,무료
151-1-000103,아양로39길 (1),35.890253,128.63503,,무료
151-1-000104,아양로39길 (2),35.888551,128.633656,,무료
151-1-000105,아양로40길,35.884598,128.635665,,무료
151-1-000106,아양로41길,35.887486,128.636429,,무료
151-1-000107,아양로46길,35.882701,128.640074,,무료
151-1-000108,아양로49길 (1),35.887859,128.638213,,무료
151-1-000109,아양로49길 (2),35.888453,128.638204,,무료
151-1-000110,아양로52길,35.8844,128.641845,,무료
151-1-000111,아양로7길 (1),35.886533,128.616709,,무료
151-1-000112,아양로7길 (2),35.883059,128.616821,,무료
151-1-000113,아양중학교 앞,35.887998,128.635203,,무료
151-1-000114,안심로41길 (1),35.867677,128.708222,,무료
151-1-000115,안심로41길 (2),35.870589,128.7087,,무료
151-1-000116,안심로59길 (1),35.870954,128.718149,,무료
151-1-000117,안심로59길 (2),35.867291,128.7181,,무료
151-1-000118,안심로59길 (3),35.86772,128.718214,,무료
151-1-000119,안심로73길,35.86991,128.724369,,무료
