matched_id,parking_name,parking_addr,parking_type,parking_spaces,statId,charger_name,charger_addr,limitYn,distance_m,name_match,address_number_match,evidence_grade,evidence
155-1-000033,대구상수도사업본부수성사업소 북편,대구광역시 수성구 범어동 156-1,공영,34,ME19E161,범어2동 행정복지센터,대구광역시 수성구 범어동 415-4,N,73.9,False,False,NEARBY_ONLY,좌표 거리 73.9m · 거리만 가까움: 현장/주소 검토 필요
154-1-000137,동서리치모아동측,대구광역시 북구 서변동 1771,공영,25,PI740671,동서리치모아109동,대구광역시 북구 서변로 88,N,73.9,False,False,NEARBY_ONLY,좌표 거리 73.9m · 거리만 가까움: 현장/주소 검토 필요
150-1-000167,큰장로12길 노상무료1,대구광역시 중구 대신동 1628,공영,12,CV000534,대구시_대신동 행정복지센터,대구광역시 중구 달구벌대로389길 50,N,74.0,False,False,NEARBY_ONLY,좌표 거리 74.0m · 거리만 가까움: 현장/주소 검토 필요
154-1-000232,칠성남로(1),대구광역시 북구 고성동2가 130-19,공영,12,LU101324,고성아파트,대구광역시 북구 고성북로 3,Y,74.0,False,False,NEARBY_ONLY,좌표 거리 74.0m · 거리만 가까움: 현장/주소 검토 필요
156-2-000020,두류3동 임시공영주차장,대구시 달서구 두류동 706-3,공영,62,HY001652,대구 두류센트레빌더파크,대구광역시 달서구 당산로36길 37,Y,74.1,False,False,NEARBY_ONLY,좌표 거리 74.1m · 거리만 가까움: 현장/주소 검토 필요
152-2-000038,평리1동 공영주차장(들마을 사랑방주차장),대구광역시 서구 평리동 791-5번지,공영,16,PIH01985,주택,대구광역시 서구 북비산로60길 40-9,N,74.2,False,False,NEARBY_ONLY,좌표 거리 74.2m · 거리만 가까움: 현장/주소 검토 필요
152-1-000126,평리동 롯데캐슬,대구광역시 서구 평리동 1126-27,공영,22,EV014535,대구서구 평리롯데캐슬아파트 6,"대구광역시 서구 국채보상로 316 (평리동, 평리롯데캐슬)",Y,74.6,False,False,NEARBY_ONLY,좌표 거리 74.6m · 거리만 가까움: 현장/주소 검토 필요
152-2-000002,감삼공원주차장,대구광역시 서구 내당동 463-7번지,공영,30,EV002287,대구서구 광장타운1차아파트,대구광역시 서구 달구벌대로 1707,N,74.8,False,False,NEARBY_ONLY,좌표 거리 74.8m · 거리만 가까움: 현장/주소 검토 필요
156-2-000078,진천환승주차장(A구역),대구시 달서구 진천동 626-31,공영,45,PI740666,진천역현대2차아파트지하1층2구역,대구광역시 달서구 월배로14길 43,N,74.9,False,False,NEARBY_ONLY,좌표 거리 74.9m · 거리만 가까움: 현장/주소 검토 필요
154-1-000122,대현남로,대구광역시 북구 대현동 521,공영,7,EV017808,대구북구 대현e-편한세상 1,대구광역시 북구 대현로10길 82,Y,75.2,False,False,NEARBY_ONLY,좌표 거리 75.2m · 거리만 가까움: 현장/주소 검토 필요
156-2-000094,월배체육공원 주차장,대구 달서구 갈밭남로 76,공영,72,PW012509,수목원풍경그린,대구광역시 달서구 갈밭남로 64,Y,75.2,False,False,NEARBY_ONLY,좌표 거리 75.2m · 거리만 가까움: 현장/주소 검토 필요
156-2-000094,월배체육공원 주차장,대구 달서구 갈밭남로 76,공영,72,PW800660,수목원풍경그린24,대구광역시 달서구 갈밭남로 64,Y,75.2,False,False,NEARBY_ONLY,좌표 거리 75.2m · 거리만 가까움: 현장/주소 검토 필요
151-1-000051,동촌역사로 (서),대구광역시 동구 검사동 990-165,공영,8,PW014434,주식회사 노비아갈라,대구광역시 동구 동촌로 87,N,75.3,False,False,NEARBY_ONLY,좌표 거리 75.3m · 거리만 가까움: 현장/주소 검토 필요
151-1-000074,서원프레시빌 아파트 앞,대구광역시 동구 괴전동 117-40,공영,23,LU101332,안심역서원프레시빌,대구광역시 동구 안심로 477,Y,75.6,False,False,NEARBY_ONLY,좌표 거리 75.6m · 거리만 가까움: 현장/주소 검토 필요
154-1-000230,칠곡중앙대로69길,대구광역시 북구 태전동 974,공영,12,EV013998,대구북구 더원,대구광역시 북구 칠곡중앙대로71길 17,N,75.7,False,False,NEARBY_ONLY,좌표 거리 75.7m · 거리만 가까움: 현장/주소 검토 필요
156-2-000067,와룡공원 지하공영주차장,대구시 달서구 이곡동 1191-2,공영,92,ME183057,이곡2동주민센터,대구광역시 달서구 계대동문로 77,N,75.7,False,False,NEARBY_ONLY,좌표 거리 75.7m · 거리만 가까움: 현장/주소 검토 필요
151-1-000043,동촌로42길,대구광역시 동구 방촌동 1072-44,공영,18,CV004097,영남네오빌 112동,대구광역시 동구 동촌로 190,Y,75.9,False,False,NEARBY_ONLY,좌표 거리 75.9m · 거리만 가까움: 현장/주소 검토 필요
156-2-000032,상인2공영주차장,대구시 달서구 상인동 1528-3,공영,65,PI714349,상인동서타운아파트,대구광역시 달서구 상인서로 39,N,75.9,False,False,NEARBY_ONLY,좌표 거리 75.9m · 거리만 가까움: 현장/주소 검토 필요
156-2-000032,상인2공영주차장,대구시 달서구 상인동 1528-3,공영,65,LU003127,상인동서타운,대구광역시 달서구 상인서로 39,Y,76.0,False,False,NEARBY_ONLY,좌표 거리 76.0m · 거리만 가까움: 현장/주소 검토 필요
157-1-000129,천내우방맨션 북편,대구광역시 달성군 화원읍 천내리 122,공영,19,NT100145,대구 천내평광타운2차,대구광역시 달성군 화원읍 비슬로525길 37,Y,76.1,False,False,NEARBY_ONLY,좌표 거리 76.1m · 거리만 가까움: 현장/주소 검토 필요
153-2-000014,삼정골 1공영주차장,대구광역시 남구 봉덕3동 1350-1번지,공영,17,PI740111,앞산태왕아너스101동,대구광역시 남구 효서길 53,N,76.1,False,False,NEARBY_ONLY,좌표 거리 76.1m · 거리만 가까움: 현장/주소 검토 필요
156-1-000040,선원로(1),대구광역시 달서구 신당동 615-3,공영,3,SF002547,방송통신대학교 대구경북지역 (신관) (완속충전기),대구광역시 달서구 선원로 21,N,76.1,False,False,NEARBY_ONLY,좌표 거리 76.1m · 거리만 가까움: 현장/주소 검토 필요
155-1-000143,수성알파시티 전기충전주차장 1,대구 수성구 대흥동 863,공영,3,CV000991,대구테크노파크,대구광역시 수성구 알파시티1로 184,N,76.5,False,False,NEARBY_ONLY,좌표 거리 76.5m · 거리만 가까움: 현장/주소 검토 필요
152-1-000114,코오롱맨션아파트 주변,대구광역시 서구 내당동 339,공영,19,EV013466,대구서구 삼익뉴타운 2,대구광역시 서구 평리로 236,Y,76.6,False,False,NEARBY_ONLY,좌표 거리 76.6m · 거리만 가까움: 현장/주소 검토 필요
155-4-000005,대동유료주차장,대구광역시 수성구 동대구로 379,민영,33,EV008139,대구수성 범어숲화성파크드림2,대구광역시 수성구 동대구로 376,N,76.7,False,False,NEARBY_ONLY,좌표 거리 76.7m · 거리만 가까움: 현장/주소 검토 필요
151-1-000064,방촌동 890-64 노상주차장,대구광역시 동구 방촌동 880-3,공영,87,HM001804,방촌역태왕아너스,대구광역시 동구 동촌로 255,Y,76.7,False,False,NEARBY_ONLY,좌표 거리 76.7m · 거리만 가까움: 현장/주소 검토 필요
154-1-000263,침산로48길,대구광역시 북구 침산동 616-2,공영,7,PIS00564,대구 북구 주식회사유앤지,대구광역시 북구 침산로 240,N,76.8,False,False,NEARBY_ONLY,좌표 거리 76.8m · 거리만 가까움: 현장/주소 검토 필요
151-2-000039,방촌동 복개시설 주차장,대구광역시 동구 검사동 956-1,공영,237,KP000235,방촌천 복개주차장,대구광역시 동구 검사동 957-11,N,77.0,False,False,NEARBY_ONLY,좌표 거리 77.0m · 거리만 가까움: 현장/주소 검토 필요
152-1-000074,삼익뉴타운2차 주변,대구광역시 서구 내당동 308-11,공영,74,EV013471,대구서구 삼익뉴타운 7,대구광역시 서구 평리로 236,Y,77.1,False,False,NEARBY_ONLY,좌표 거리 77.1m · 거리만 가까움: 현장/주소 검토 필요
